,accuracy,precision,recall,f1,roc_auc
Logistic_Regression,0.5884353741496599,0.5898947368421052,0.7005,0.6404571428571428,0.6447194017563118
Random_Forest,0.5769230769230769,0.5830082358040746,0.6725,0.62456466217785,0.6188520856201976
